threshold,accuracy,precision,recall,f1_score
0.1,0.65,0.22346368715083798,0.975609756097561,0.36363636363636365
0.15,0.71,0.2413793103448276,0.8536585365853658,0.3763440860215054
0.2,0.755,0.2644628099173554,0.7804878048780488,0.3950617283950617
0.25,0.7975,0.3,0.7317073170731707,0.425531914893617
0.3,0.825,0.32941176470588235,0.6829268292682927,0.4444444444444444
0.35,0.855,0.36507936507936506,0.5609756097560976,0.4423076923076923
0.4,0.875,0.4117647058823529,0.5121951219512195,0.45652173913043476
0.45,0.885,0.43243243243243246,0.3902439024390244,0.41025641025641024
0.5,0.895,0.4827586206896552,0.34146341463414637,0.4
