threshold,accuracy,precision,recall,f1_score
0.05,0.5,0.16736401673640167,0.975609756097561,0.2857142857142857
0.06,0.545,0.18099547511312217,0.975609756097561,0.3053435114503817
0.07,0.5775,0.19230769230769232,0.975609756097561,0.321285140562249
0.08,0.6075,0.20408163265306123,0.975609756097561,0.33755274261603374
0.09,0.64,0.2185792349726776,0.975609756097561,0.35714285714285715
0.1,0.65,0.22346368715083798,0.975609756097561,0.36363636363636365
0.11,0.6675,0.23255813953488372,0.975609756097561,0.3755868544600939
0.12,0.68,0.23636363636363636,0.9512195121951219,0.3786407766990291
0.13,0.6925,0.23026315789473684,0.8536585365853658,0.3626943005181347
0.14,0.695,0.23178807947019867,0.8536585365853658,0.3645833333333333
0.15,0.71,0.2413793103448276,0.8536585365853658,0.3763440860215054
0.16,0.7225,0.25,0.8536585365853658,0.3867403314917127
0.17,0.73,0.25547445255474455,0.8536585365853658,0.39325842696629215
0.18,0.74,0.2631578947368421,0.8536585365853658,0.40229885057471265
0.19,0.7475,0.2619047619047619,0.8048780487804879,0.39520958083832336
0.2,0.755,0.2644628099173554,0.7804878048780488,0.3950617283950617
0.21,0.765,0.26956521739130435,0.7560975609756098,0.3974358974358974
0.22,0.7725,0.2727272727272727,0.7317073170731707,0.3973509933774834
0.23,0.78,0.2803738317757009,0.7317073170731707,0.40540540540540543
0.24,0.79,0.2912621359223301,0.7317073170731707,0.4166666666666667
0.25,0.7975,0.3,0.7317073170731707,0.425531914893617
0.26,0.7975,0.3,0.7317073170731707,0.425531914893617
0.27,0.8,0.29896907216494845,0.7073170731707317,0.42028985507246375
0.28,0.8075,0.30851063829787234,0.7073170731707317,0.42962962962962964
0.29,0.82,0.3258426966292135,0.7073170731707317,0.4461538461538462
0.3,0.825,0.32941176470588235,0.6829268292682927,0.4444444444444444
0.31,0.825,0.32098765432098764,0.6341463414634146,0.4262295081967213
0.32,0.8325,0.32894736842105265,0.6097560975609756,0.42735042735042733
0.33,0.835,0.3333333333333333,0.6097560975609756,0.43103448275862066
0.34,0.8475,0.35714285714285715,0.6097560975609756,0.45045045045045046
0.35,0.855,0.36507936507936506,0.5609756097560976,0.4423076923076923
0.36,0.8575,0.36666666666666664,0.5365853658536586,0.43564356435643564
0.37,0.8575,0.36666666666666664,0.5365853658536586,0.43564356435643564
0.38,0.865,0.38596491228070173,0.5365853658536586,0.4489795918367347
0.39,0.875,0.41509433962264153,0.5365853658536586,0.46808510638297873
0.4,0.875,0.4117647058823529,0.5121951219512195,0.45652173913043476
0.41,0.8725,0.391304347826087,0.43902439024390244,0.41379310344827586
0.42,0.8725,0.38636363636363635,0.4146341463414634,0.4
0.43,0.8725,0.38095238095238093,0.3902439024390244,0.3855421686746988
0.44,0.8825,0.42105263157894735,0.3902439024390244,0.4050632911392405
0.45,0.885,0.43243243243243246,0.3902439024390244,0.41025641025641024
0.46,0.8875,0.4444444444444444,0.3902439024390244,0.4155844155844156
0.47,0.8875,0.4411764705882353,0.36585365853658536,0.4
0.48,0.89,0.45161290322580644,0.34146341463414637,0.3888888888888889
0.49,0.8925,0.4666666666666667,0.34146341463414637,0.39436619718309857
0.5,0.895,0.4827586206896552,0.34146341463414637,0.4
